Bank Name,Bank ID,Account Number,Entity ID,Entity Name
China Bank #2820,314693,81B86A280,800D8CCF0,Corporation #41344
France Bank #4585,311253,8187FEA80,800B505E0,Corporation #54497
China Bank #2242,39996,803961E00,800D03F60,Partnership #36904
National Bank of Newport,331440,81B075800,801567C10,Corporation #16224
UK Bank #33,135417,80CF87C80,801085E00,Partnership #72930
Savings Bank of Harrisburg,270107,81A2F8D80,80145CEC0,Partnership #17131
Crytpo Bank #22,170412,819F4D601,8015B10D0,Partnership #953
Brazil Bank #19,148894,811EACF00,801208FE0,Corporation #48389
Japan Bank #654,322173,808753E80,800E622A0,Corporation #42450
Italy Bank #1554,52130,81455D100,800C1C190,Sole Proprietorship #29256
Germany Bank #2937,317883,8103CDD80,800B5ACE0,Corporation #35364
Spain Bank #543,18586,8082C4D00,800ADE860,Sole Proprietorship #30209
First Bank of Huron,1277,8007A7E80,8010F29F0,Partnership #1245
Australia Bank #22,42646,810AB4B00,8011A97C0,Sole Proprietorship #70044
India Bank #19,123651,80ED98180,800F49110,Sole Proprietorship #43351
Italy Bank #55,225312,814001000,800BBDB50,Corporation #71730
Spain Bank #72,25634,8053A1100,8009FA300,Corporation #31245
